,YEAR-MONTH,RAINFALL
486,1943-12-01,0.2
487,1944-01-01,32.3
488,1944-02-01,54.6
489,1944-03-01,49.5
490,1944-04-01,46.5
491,1944-05-01,0.6
492,1944-06-01,21.8
493,1944-07-01,183.8
494,1944-08-01,145.8
495,1944-09-01,67.2
496,1944-10-01,14.6
497,1944-11-01,1.6
498,1944-12-01,8.4
499,1945-01-01,71.4
500,1945-03-01,14.5
501,1945-04-01,15.9
502,1945-05-01,3.2
503,1945-06-01,38.3
504,1945-07-01,156.9
505,1945-08-01,138.6
506,1945-09-01,359.8
507,1945-10-01,6.0
508,1945-11-01,0.5
509,1945-12-01,0.2
510,1946-01-01,2.6
511,1946-02-01,16.1
512,1946-03-01,7.0
513,1946-04-01,4.2
514,1946-05-01,19.3
515,1946-06-01,63.1
516,1946-07-01,129.5
517,1946-08-01,150.5
518,1946-09-01,7.4
519,1946-10-01,32.0
520,1946-11-01,7.6
521,1946-12-01,38.7
522,1947-01-01,23.2
523,1947-02-01,14.5
524,1947-03-01,9.4
525,1947-05-01,5.4
526,1947-06-01,3.5
527,1947-07-01,57.4
528,1947-08-01,177.4
529,1947-09-01,270.8
530,1947-10-01,3.0
531,1947-12-01,36.3
532,1948-01-01,19.9
533,1948-02-01,53.1
534,1948-03-01,66.5
535,1948-04-01,6.7
536,1948-05-01,2.2
537,1948-06-01,11.2
538,1948-07-01,195.7
539,1948-08-01,209.6
540,1948-09-01,38.3
541,1948-10-01,0.6
542,1948-11-01,0.3
543,1948-12-01,16.2
544,1949-01-01,9.3
545,1949-02-01,58.4
546,1949-03-01,4.8
547,1949-04-01,5.2
548,1949-05-01,9.8
549,1949-06-01,26.9
550,1949-07-01,320.0
551,1949-08-01,93.7
552,1949-09-01,51.0
553,1949-10-01,1.4
554,1949-12-01,4.5
555,1950-01-01,53.1
556,1950-02-01,25.4
557,1950-03-01,50.1
558,1950-04-01,2.4
559,1950-05-01,8.1
560,1950-06-01,14.1
561,1950-07-01,209.2
562,1950-08-01,232.3
563,1950-09-01,396.8
564,1950-10-01,0.4
565,1950-12-01,0.1
566,1951-01-01,23.9
567,1951-02-01,4.3
568,1951-03-01,53.5
569,1951-04-01,10.4
570,1951-05-01,21.5
571,1951-06-01,5.1
572,1951-07-01,207.8
573,1951-08-01,122.2
574,1951-09-01,12.5
575,1951-10-01,1.9
576,1951-11-01,34.5
577,1951-12-01,1.9
578,1952-01-01,19.7
579,1952-02-01,20.4
580,1952-03-01,34.0
581,1952-04-01,0.7
582,1952-05-01,6.4
583,1952-06-01,59.8
584,1952-07-01,137.0
585,1952-08-01,282.3
586,1952-09-01,1.7
587,1952-10-01,0.1
588,1952-11-01,0.1
589,1952-12-01,3.8
590,1953-01-01,47.1
591,1953-02-01,1.5
592,1953-04-01,8.2
593,1953-05-01,2.2
594,1953-06-01,54.3
595,1953-07-01,262.7
596,1953-08-01,153.3
597,1953-09-01,72.1
598,1953-10-01,0.5
599,1953-11-01,0.4
600,1953-12-01,9.3
601,1954-01-01,30.8
602,1954-02-01,92.2
603,1954-03-01,9.5
604,1954-04-01,0.1
605,1954-05-01,2.4
606,1954-06-01,27.6
607,1954-07-01,181.8
608,1954-08-01,45.7
609,1954-09-01,226.5
610,1954-10-01,16.6
611,1955-01-01,33.0
612,1955-02-01,3.6
613,1955-03-01,24.9
614,1955-04-01,20.5
615,1955-05-01,18.6
616,1955-06-01,38.0
617,1955-07-01,148.7
618,1955-08-01,169.7
619,1955-09-01,144.2
620,1955-10-01,370.3
621,1955-12-01,2.6
622,1956-01-01,21.6
623,1956-02-01,6.8
624,1956-03-01,45.3
625,1956-04-01,5.1
626,1956-05-01,0.7
627,1956-06-01,53.5
628,1956-07-01,236.5
629,1956-08-01,208.7
630,1956-09-01,26.7
631,1956-10-01,140.1
632,1956-11-01,0.2
633,1956-12-01,5.3
634,1957-01-01,105.0
635,1957-02-01,4.0
636,1957-03-01,26.6
637,1957-04-01,10.6
638,1957-05-01,10.8
639,1957-06-01,19.5
640,1957-07-01,197.5
641,1957-08-01,167.4
642,1957-09-01,106.1
643,1957-10-01,17.2
644,1957-11-01,10.3
645,1957-12-01,35.5
646,1958-01-01,9.5
647,1958-02-01,3.5
648,1958-03-01,6.9
649,1958-04-01,4.4
650,1958-05-01,0.4
651,1958-06-01,28.0
652,1958-07-01,186.2
653,1958-08-01,128.4
654,1958-09-01,372.3
655,1958-10-01,43.4
656,1958-12-01,45.0
657,1959-01-01,43.3
658,1959-02-01,21.4
659,1959-03-01,10.0
660,1959-04-01,4.8
661,1959-05-01,20.3
662,1959-06-01,21.5
663,1959-07-01,188.0
664,1959-08-01,210.1
665,1959-09-01,133.9
666,1959-10-01,24.0
667,1959-11-01,21.9
668,1959-12-01,0.5
669,1960-01-01,14.2
670,1960-02-01,0.1
671,1960-03-01,33.3
672,1960-04-01,4.7
673,1960-05-01,4.0
674,1960-06-01,44.1
675,1960-07-01,243.1
676,1960-08-01,234.1
677,1960-09-01,8.6
678,1960-10-01,0.5
679,1960-12-01,20.3
680,1961-01-01,51.7
681,1961-02-01,39.5
682,1961-03-01,3.0
683,1961-04-01,14.2
684,1961-05-01,4.6
685,1961-06-01,43.0
686,1961-07-01,216.1
687,1961-08-01,199.3
688,1961-09-01,87.0
689,1961-10-01,22.8
690,1961-11-01,2.8
691,1961-12-01,6.1
692,1962-01-01,39.6
693,1962-02-01,14.2
694,1962-03-01,43.2
695,1962-04-01,4.2
696,1962-05-01,4.7
697,1962-06-01,26.0
698,1962-07-01,167.5
699,1962-08-01,126.8
700,1962-09-01,321.2
701,1962-10-01,0.5
702,1962-11-01,14.8
703,1962-12-01,6.7
704,1963-01-01,0.4
705,1963-02-01,14.5
706,1963-03-01,34.3
707,1963-04-01,3.0
708,1963-05-01,12.7
709,1963-06-01,31.3
710,1963-07-01,116.7
711,1963-08-01,199.4
712,1963-09-01,42.6
713,1963-10-01,0.6
714,1963-11-01,7.0
715,1963-12-01,13.6
716,1964-01-01,11.0
717,1964-02-01,5.7
718,1964-03-01,3.9
719,1964-04-01,5.2
720,1964-05-01,19.2
721,1964-06-01,10.2
722,1964-07-01,359.3
723,1964-08-01,189.8
724,1964-09-01,95.0
725,1964-12-01,9.6
726,1965-01-01,13.1
727,1965-02-01,23.9
728,1965-03-01,15.3
729,1965-04-01,21.3
730,1965-05-01,34.3
731,1965-06-01,1.6
732,1965-07-01,192.6
733,1965-08-01,91.6
734,1965-09-01,14.2
735,1965-10-01,10.4
736,1965-11-01,4.5
737,1965-12-01,0.5
738,1966-01-01,0.2
739,1966-02-01,38.9
740,1966-03-01,18.5
741,1966-04-01,3.6
742,1966-05-01,37.6
743,1966-06-01,85.1
744,1966-07-01,109.8
745,1966-08-01,200.0
746,1966-09-01,132.6
747,1966-10-01,9.5
748,1966-12-01,2.3
749,1967-01-01,0.2
750,1967-02-01,13.1
751,1967-03-01,84.8
752,1967-04-01,1.8
753,1967-05-01,1.1
754,1967-06-01,14.7
755,1967-07-01,211.6
756,1967-08-01,197.8
757,1967-09-01,61.5
758,1967-10-01,14.2
759,1967-11-01,1.9
760,1967-12-01,77.6
761,1968-01-01,24.7
762,1968-02-01,30.5
763,1968-03-01,32.7
764,1968-04-01,2.1
765,1968-05-01,1.6
766,1968-06-01,42.6
767,1968-07-01,239.4
768,1968-08-01,142.1
769,1968-09-01,0.5
770,1968-10-01,11.7
771,1968-11-01,0.5
772,1968-12-01,7.8
773,1969-01-01,14.2
774,1969-02-01,21.7
775,1969-03-01,24.4
776,1969-04-01,12.0
777,1969-05-01,17.2
778,1969-06-01,10.8
779,1969-07-01,145.9
780,1969-08-01,122.9
781,1969-09-01,120.9
782,1969-10-01,1.1
783,1969-11-01,3.7
784,1970-01-01,40.1
785,1970-02-01,20.6
786,1970-03-01,7.3
787,1970-04-01,0.3
788,1970-05-01,12.8
789,1970-06-01,119.8
790,1970-07-01,75.4
791,1970-08-01,260.7
792,1970-09-01,109.4
