,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
97,oversize-khaki-tshirt,Oversize Khaki Tshirt,Style Size,M,,,,,ZZ09793-M,,,Shop location,0,0,0,8,8
98,oversize-khaki-tshirt,Oversize Khaki Tshirt,Style Size,L,,,,,ZZ09793-L,,,Shop location,0,0,0,3,3
99,oversize-khaki-tshirt,Oversize Khaki Tshirt,Style Size,XL,,,,,ZZ09793-XL,,,Shop location,0,0,0,2,2
100,lace-trimmed-gathered-sleeve-dress,Lace Trimmed Gathered Sleeve Dress,Style Size,S,,,,,ZZ09771-S,,,Shop location,0,0,0,2,2
101,lace-trimmed-gathered-sleeve-dress,Lace Trimmed Gathered Sleeve Dress,Style Size,M,,,,,ZZ09771-M,,,Shop location,0,0,0,0,0
102,lace-trimmed-gathered-sleeve-dress,Lace Trimmed Gathered Sleeve Dress,Style Size,L,,,,,ZZ09771-L,,,Shop location,0,0,0,3,3
103,lace-trimmed-gathered-sleeve-dress,Lace Trimmed Gathered Sleeve Dress,Style Size,XL,,,,,ZZ09771-XL,,,Shop location,0,0,0,2,2
104,lace-trimmed-gathered-sleeve-dress,Lace Trimmed Gathered Sleeve Dress,Style Size,XXL,,,,,ZZ09771-XXL,,,Shop location,0,0,0,0,0
105,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,XS,,,,,ZZ09766-XS,,,Shop location,0,0,0,1,1
106,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,S,,,,,ZZ09766-S,,,Shop location,0,0,0,4,4
107,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,M,,,,,ZZ09766-M,,,Shop location,0,0,0,5,5
108,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,L,,,,,ZZ09766-L,,,Shop location,0,0,0,5,5
109,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,XL,,,,,ZZ09766-XL,,,Shop location,0,0,0,4,4
110,long-sleeve-frilled-round-neck-dress,Long Sleeve Frilled Round Neck Dress,Style Size,XXL,,,,,ZZ09766-XXL,,,Shop location,0,0,0,1,1
111,midi-length-ponte-printed-dress,Midi Length Ponte Printed Dress,Style Size,XS,,,,,ZZ09705-XS,,,Shop location,0,0,0,2,2
112,midi-length-ponte-printed-dress,Midi Length Ponte Printed Dress,Style Size,S,,,,,ZZ09705-S,,,Shop location,0,0,0,4,4
113,midi-length-ponte-printed-dress,Midi Length Ponte Printed Dress,Style Size,M,,,,,ZZ09705-M,,,Shop location,0,0,0,6,6
114,midi-length-ponte-printed-dress,Midi Length Ponte Printed Dress,Style Size,L,,,,,ZZ09705-L,,,Shop location,0,0,0,1,1
115,midi-length-ponte-printed-dress,Midi Length Ponte Printed Dress,Style Size,XL,,,,,ZZ09705-XL,,,Shop location,0,0,0,0,0
116,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,XS,,,,,ZZ09704-XS,,,Shop location,0,0,0,3,3
117,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,S,,,,,ZZ09704-S,,,Shop location,0,0,0,3,3
118,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,M,,,,,ZZ09704-M,,,Shop location,0,0,1,6,7
119,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,L,,,,,ZZ09704-L,,,Shop location,0,0,1,7,8
120,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,XL,,,,,ZZ09704-XL,,,Shop location,0,0,0,5,5
121,oversized-sleeve-printed-mini-dress,Oversized Sleeve Printed Mini Dress,Style Size,XXL,,,,,ZZ09704-XXL,,,Shop location,0,0,0,2,2
122,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,XS,,,,,ZZ09770-XS,,,Shop location,0,0,0,3,3
123,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,S,,,,,ZZ09770-S,,,Shop location,0,0,0,6,6
124,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,M,,,,,ZZ09770-M,,,Shop location,0,0,0,10,10
125,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,L,,,,,ZZ09770-L,,,Shop location,0,0,0,10,10
126,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,XL,,,,,ZZ09770-XL,,,Shop location,0,0,0,6,6
127,printed-chiffon-loose-fit-on-dress,Printed Chiffon Loose Fit On Dress,Style Size,XXL,,,,,ZZ09770-XXL,,,Shop location,0,0,0,3,3
