,YEAR-MONTH,RAINFALL
1287,2013-04-01,46.3
1288,2013-05-01,509.3
1289,2013-06-01,777.0
1290,2013-07-01,564.8
1291,2013-08-01,336.7
1292,2013-09-01,473.6
1293,2013-10-01,455.8
1294,2013-11-01,354.2
1295,2013-12-01,92.3
1296,2014-01-01,41.9
1297,2014-02-01,8.6
1298,2014-03-01,0.0
1299,2014-04-01,11.1
1300,2014-05-01,238.0
1301,2014-06-01,416.6
1302,2014-07-01,467.6
1303,2014-08-01,321.6
1304,2014-09-01,412.9
1305,2014-10-01,402.6
1306,2014-11-01,201.2
1307,2014-12-01,100.4
1308,2015-01-01,126.8
1309,2015-02-01,7.6
1310,2015-03-01,3.1
1311,2015-04-01,138.2
1312,2015-05-01,331.9
1313,2015-06-01,346.4
1314,2015-07-01,328.9
1315,2015-08-01,480.0
1316,2015-09-01,523.3
1317,2015-10-01,252.1
1318,2015-11-01,236.3
1319,2015-12-01,129.9
